Stagione,Competizione,Turno,Girone,Data,Casa,GolCasa,GolFuori,Fuori,FPCasa,FPFuori
2025-26,europa-league,Semifinali Andata,,2026-04-24,DSP,0,0,ROB,67.0,67.0
2025-26,europa-league,Semifinali Andata,,2026-04-24,PRS,1,0,ARR,71.0,67.5
2025-26,europa-league,Semifinali Ritorno,,2026-05-01,ROB,1,0,DSP,69.0,61.5
2025-26,europa-league,Semifinali Ritorno,,2026-05-01,ARR,0,2,PRS,64.5,77.0
2025-26,europa-league,Finale,,2026-05-08,ROB,2,1,PRS,73.5,69.5
2025-26,europa-league,Finale 3/4,,2026-05-08,DSP,1,2,ARR,68.0,77.5
