Stagione,Competizione,Turno,Girone,Data,Casa,GolCasa,GolFuori,Fuori,FPCasa,FPFuori
2025-26,conference-league,Quarti,,2026-05-08,DSP,1,2,SUB,68.0,74.0
2025-26,conference-league,Quarti,,2026-05-08,SMT,1,2,ARR,71.5,77.5
2025-26,conference-league,Semifinali,,2026-05-17,SUB,2,4,AVL,73.5,84.0
2025-26,conference-league,Semifinali,,2026-05-17,SAM,0,1,ARR,62.5,72.5
2025-26,conference-league,Finale,,2026-05-22,AVL,1,3,ARR,71.0,78.5
2025-26,conference-league,Finale 3/4,,2026-05-22,SUB,2,0,SAM,73.5,63.5
